0,127,35,241,opera_red.png,395,515
1,93,46,300,opera_red.png,395,515
2,58,46,351,opera_red.png,395,515
3,136,56,385,opera_red.png,395,515
4,150,70,412,opera_red.png,395,515
5,149,93,444,opera_red.png,395,515
6,176,121,477,opera_red.png,395,515
7,148,161,497,opera_red.png,395,515
8,152,200,504,opera_red.png,395,515
9,377,244,494,opera_red.png,395,515
10,400,280,477,opera_red.png,395,515
11,378,320,444,opera_red.png,395,515
12,379,338,412,opera_red.png,395,515
13,365,350,385,opera_red.png,395,515
14,288,359,348,opera_red.png,395,515
15,323,365,301,opera_red.png,395,515
16,356,367,241,opera_red.png,395,515
17,70,75,198,opera_red.png,395,515
18,63,96,189,opera_red.png,395,515
19,105,120,180,opera_red.png,395,515
20,66,143,191,opera_red.png,395,515
21,55,161,211,opera_red.png,395,515
22,285,243,209,opera_red.png,395,515
23,296,261,191,opera_red.png,395,515
24,334,279,180,opera_red.png,395,515
25,293,306,191,opera_red.png,395,515
26,300,332,200,opera_red.png,395,515
27,168,200,236,opera_red.png,395,515
28,6,202,274,opera_red.png,395,515
29,195,203,304,opera_red.png,395,515
30,4,202,332,opera_red.png,395,515
31,64,170,347,opera_red.png,395,515
32,60,185,351,opera_red.png,395,515
33,94,202,356,opera_red.png,395,515
34,290,217,351,opera_red.png,395,515
35,439,233,347,opera_red.png,395,515
36,33,97,254,opera_red.png,395,515
37,160,121,242,opera_red.png,395,515
38,158,146,242,opera_red.png,395,515
39,173,162,256,opera_red.png,395,515
40,153,141,267,opera_red.png,395,515
41,144,120,264,opera_red.png,395,515
42,398,241,258,opera_red.png,395,515
43,385,261,242,opera_red.png,395,515
44,387,283,241,opera_red.png,395,515
45,466,306,253,opera_red.png,395,515
46,373,282,264,opera_red.png,395,515
47,380,258,267,opera_red.png,395,515
48,61,126,389,opera_red.png,395,515
49,40,146,374,opera_red.png,395,515
50,39,171,371,opera_red.png,395,515
51,0,202,374,opera_red.png,395,515
52,269,230,371,opera_red.png,395,515
53,270,262,376,opera_red.png,395,515
54,291,280,391,opera_red.png,395,515
55,321,262,401,opera_red.png,395,515
56,405,230,412,opera_red.png,395,515
57,17,202,422,opera_red.png,395,515
58,181,171,413,opera_red.png,395,515
59,91,147,403,opera_red.png,395,515
60,78,152,385,opera_red.png,395,515
61,81,175,382,opera_red.png,395,515
62,13,202,383,opera_red.png,395,515
63,311,228,383,opera_red.png,395,515
64,306,251,386,opera_red.png,395,515
65,402,228,391,opera_red.png,395,515
66,14,202,394,opera_red.png,395,515
67,178,176,392,opera_red.png,395,515
68,162,26,198,opera_red.png,395,515
69,54,36,115,opera_red.png,395,515
70,67,92,46,opera_red.png,395,515
71,10,200,5,opera_red.png,395,515
72,297,304,43,opera_red.png,395,515
73,284,369,115,opera_red.png,395,515
74,389,378,197,opera_red.png,395,515
